,LSTAT,RM,CHAS,INDUS,TAX,RAD,BLACK,MEDVDerived
463,14.7,6.081,0,18.1,666,24,396.9,2.995732274
464,16.42,6.701,0,18.1,666,24,255.23,2.797281335
465,14.65,6.376,0,18.1,666,24,391.43,2.87356464
466,13.99,6.317,0,18.1,666,24,396.9,2.970414466
467,10.29,6.513,0,18.1,666,24,393.82,3.005682604
468,13.22,6.209,0,18.1,666,24,396.9,3.063390922
469,14.13,5.759,0,18.1,666,24,334.4,2.990719732
470,17.15,5.952,0,18.1,666,24,22.01,2.944438979
471,21.32,6.003,0,18.1,666,24,331.29,2.949688335
472,18.13,5.926,0,18.1,666,24,368.74,2.949688335
473,14.76,5.713,0,18.1,666,24,396.9,3.000719815
474,16.29,6.167,0,18.1,666,24,396.9,2.990719732
475,12.87,6.229,0,18.1,666,24,395.33,2.975529566
476,14.36,6.437,0,18.1,666,24,393.37,3.144152279
477,11.66,6.98,0,18.1,666,24,374.68,3.394508394
478,18.14,5.427,0,18.1,666,24,352.58,2.624668592
479,24.1,6.162,0,18.1,666,24,302.76,2.587764035
480,18.68,6.484,0,18.1,666,24,396.21,2.815408719
481,24.91,5.304,0,18.1,666,24,349.48,2.48490665
482,18.03,6.185,0,18.1,666,24,379.7,2.681021529
483,13.11,6.229,0,18.1,666,24,383.32,3.063390922
484,10.74,6.242,0,18.1,666,24,396.9,3.135494216
485,7.74,6.75,0,18.1,666,24,393.07,3.165475048
486,7.01,7.061,0,18.1,666,24,395.28,3.218875825
487,10.42,5.762,0,18.1,666,24,392.92,3.08190997
488,13.34,5.871,0,18.1,666,24,370.73,3.025291076
489,10.58,6.312,0,18.1,666,24,388.62,3.054001182
490,14.98,6.114,0,18.1,666,24,392.68,2.949688335
491,11.45,5.905,0,18.1,666,24,388.22,3.025291076
492,18.06,5.454,0,27.74,711,4,395.09,2.721295428
493,23.97,5.414,0,27.74,711,4,344.05,1.945910149
494,29.68,5.093,0,27.74,711,4,318.43,2.091864062
495,18.07,5.983,0,27.74,711,4,390.11,2.610069793
496,13.35,5.983,0,27.74,711,4,396.9,3.000719815
497,12.01,5.707,0,9.69,391,6,396.9,3.08190997
498,13.59,5.926,0,9.69,391,6,396.9,3.198673118
499,17.6,5.67,0,9.69,391,6,393.29,3.139832618
500,21.14,5.39,0,9.69,391,6,396.9,2.980618636
501,14.1,5.794,0,9.69,391,6,396.9,2.90690106
502,12.92,6.019,0,9.69,391,6,396.9,3.054001182
503,15.1,5.569,0,9.69,391,6,395.77,2.862200881
504,14.33,6.027,0,9.69,391,6,396.9,2.821378886
505,9.67,6.593,0,11.93,273,1,391.99,3.109060959
506,9.08,6.12,0,11.93,273,1,396.9,3.025291076
507,5.64,6.976,0,11.93,273,1,396.9,3.173878459
508,6.48,6.794,0,11.93,273,1,393.45,3.091042453
509,7.88,6.03,0,11.93,273,1,396.9,2.4765384
